Record #,ID,DOI,Strain,Titer,Product,Type,Substrate,Comment
50446,218,10.1111/jam.14204,Escherichia coli,92 mg l(-1),isoprene,Isoprenoid,NULL,
260,220,10.1007/s00253-019-09735-w,Yarrowia lipolytica,27.92mg/L,santalene,Isoprenoid,glucose,
268,228,10.4014/jmb.1810.10026,-,-,-,-,,
50447,228,10.4014/jmb.1810.10026,NULL,NULL,NULL,NULL,,
269,229,10.1021/acssynbio.8b00479,Candida glabrata,40.2 g/L,pyruvate,Acid,glucose,
270,230,10.1021/acssynbio.8b00489,Aspergillus terreus,5.5 g L-1,monacolin,Other,NULL,
277,237,10.1007/s00284-019-01628-5,NULL,NULL,NULL,NULL,,
281,241,10.1016/j.ijbiomac.2018.12.231,NULL,NULL,NULL,NULL,,
284,244,10.1016/j.biortech.2018.12.116,NULL,NULL,NULL,NULL,,
50448,257,10.1186/s13068-019-1408-9,Escherichia coli,28.4 g/L,butyric acid,Acid,,
297,257,10.1186/s13068-019-1408-9,-,-,-,-,,
50449,262,10.1016/j.jbiotec.2019.01.018,NULL,NULL,NULL,NULL,,
302,262,10.1016/j.jbiotec.2019.01.018,-,-,-,-,,
305,265,10.1002/jsfa.9365,NULL,NULL,NULL,NULL,,
316,276,10.1002/jctb.5832,Shimwellia blattae,12 g L-1,isobutanol,Alcohol,glucose,
322,282,10.1002/bit.26906,Candida glabrata,21.6 g/L,fumarate,Acid,NULL,
324,284,10.1007/s00253-019-09625-1,Kluyveromyces marxianus,42.6 g/L,ethanol,Alcohol,lignocellulosic hydrolysate,
327,287,10.1002/aic.16502,Saccharomyces cerevisiae,8.09 g/L,protopanaxadiol,Isoprenoid,ethanol,
329,289,10.1104/pp.18.01074,S. cerevisiae,640 mg L-1,salidroside,Other,glucose,
332,289,10.1104/pp.18.01074,Corynebacterium glutamicum,9700 mg/L,salidroside,Other,glucose,
335,292,10.1016/j.algal.2018.101403,NULL,NULL,NULL,NULL,,
336,293,10.1007/s00253-019-09663-9,Corynebacterium glutamicum,200mg/L,l-cysteine,Amino Acid,NULL,
342,299,10.1021/acssynbio.8b00466,Escherichia coli,14.6 g/L,"2-amino-1,3-propanediol",Other,glucose,
344,301,10.1007/s00253-018-09578-x,Escherichia coli,665.2mg/L,isoprene,Alcohol,glucose or glycerol,
350,301,10.1007/s00253-018-09578-x,Escherichia coli,2532.1mg/L,"1,3-PDO",Alcohol,glucose or glycerol,
356,307,10.1016/j.jprot.2018.12.021,NULL,NULL,NULL,NULL,,
360,311,10.1016/j.ymben.2018.11.009,Saccharomyces cerevisiae,2.37 g/L,lycopene,Isoprenoid,NULL,
361,312,10.1016/j.ymben.2018.12.001,Streptomyces hygroscopicus,6.37 g/L,5-oxomilbemycin,Other,NULL,
363,314,10.1016/j.ymben.2018.12.004,Aspergillus niger,109 g/L,citric acid,Acid,glucose,
373,324,10.1186/s13068-019-1381-3,Corynebacterium glutamicum,1.25g/L,Isopentenol,Alcohol,NULL,
380,331,10.1016/j.bej.2018.11.013,NULL,NULL,NULL,NULL,,
384,335,10.1186/s13068-019-1372-4,Escherichia coli,2.81 g/L,acetol,Other,glycerol,
387,338,10.2174/1389201020666190211145215,NULL,NULL,NULL,NULL,,
391,342,10.1016/j.jhazmat.2018.09.020,NULL,NULL,NULL,NULL,,
392,343,10.1038/s41467-019-08448-y,NULL,NULL,NULL,NULL,,
395,346,10.1186/s12934-019-1073-5,NULL,NULL,NULL,NULL,,
399,350,10.1002/jsfa.9331,NULL,NULL,NULL,NULL,,
404,355,10.1002/mbo3.639,NULL,NULL,NULL,NULL,,
417,368,10.1007/s12010-018-2825-0,Aureobasidium pullulans,62.56 g/L,polymalic acid,Other,NULL,
419,370,10.1016/j.cej.2018.09.191,NULL,NULL,NULL,NULL,,
422,373,10.1016/j.biortech.2018.11.018,Kluyveromyces marxianus,103.00 g/L,c-lactic acid,Acid,lignocellulose,
437,388,10.1186/s12934-019-1056-6,Escherichia coli,439mg/L,cyanidin 3-O-glucoside,Other,glucose,
438,389,10.1016/j.ces.2018.09.030,S. cerevisiae,115.64 mg/L,lycopene,Isoprenoid,citric acid,
449,400,10.1186/s12934-018-1049-x,Bacillus subtilis,82.5g/L,GlcNAc,Other,glucose,
453,404,10.1186/s13068-019-1524-6,Clostridium thermocellum,357mg/L,n-butanol,Alcohol,cellulose,
479,430,10.1002/bit.26818,Corynebacterium glutamicum,21.72 g/L,4-hydroxy-1-proline,Other,glucose,
489,440,10.1080/21655979.2019.1600966,NULL,NULL,NULL,NULL,,
490,441,10.1080/21655979.2019.1592417,Unspecified,49 g/L,tryptophan,Amino Acid,glucose,
50450,451,10.1128/mBio.02683-18,NULL,NULL,NULL,NULL,ethanol,
500,451,10.1128/mBio.02683-18,-,-,-,-,,
501,452,10.1016/j.ymben.2018.09.005,Saccharomyces cerevisiae,55 mg/L,simvastain acid,Alkaloid,NULL,
506,457,10.1016/j.procbio.2018.11.006,NULL,NULL,NULL,NULL,,
508,459,10.1016/j.procbio.2018.10.008,NULL,NULL,NULL,NULL,,
511,462,10.1016/j.biortech.2018.08.134,Bacillus licheniformis,8.37 g/L,short branched-chain fatty acids,Acid,crude glycerol,
513,464,10.1016/j.algal.2018.11.010,Synechococcus elongatus,0.44 mu g/L,heparosan,Other,NULL,
519,470,10.1016/j.ymben.2018.10.002,Bacillus subtilis,24.5 g L-1,GlcNAc,Other,glucose,
520,471,10.1016/j.ymben.2018.10.001,Saccharomyces cerevisiae,384 mg/L,maslinic acid,Isoprenoid,glucose,
532,471,10.1016/j.ymben.2018.10.001,Saccharomyces cerevisiae,141 mg/L,corosolic acid,Isoprenoid,glucose,
544,471,10.1016/j.ymben.2018.10.001,Saccharomyces cerevisiae,23 mg/L,alphitolic acid,Isoprenoid,glucose,
556,483,10.1021/acs.jafc.8b05014,E. coli,238.71 mg/L,resveratrol,Polyketide,L-tyrosine,
558,485,10.1021/acs.jafc.8b04291,Saccharomyces cerevisiae,3.0 g/L,GlcNAc,Other,glucose,
559,486,10.1021/acs.jafc.8b04666,Escherichia coli,145.81 g/L,xylitol,Alcohol,glucose and xylose,
562,486,10.1021/acs.jafc.8b04666,Escherichia coli,184.85 g/L,gluconic acid,Acid,glucose and xylose,
50451,488,10.1016/j.indcrop.2018.10.031,NULL,NULL,NULL,NULL,,
561,488,10.1016/j.indcrop.2018.10.031,-,-,-,-,,
564,488,10.1016/j.indcrop.2018.10.031,-,-,-,-,,
565,489,10.1016/j.indcrop.2018.10.042,NULL,NULL,NULL,NULL,,
568,492,10.1186/s12934-018-1045-1,Saccharomyces cerevisiae,980mg/L,indigoidine,Other,NULL,
592,516,10.1002/jsfa.9107,NULL,NULL,NULL,NULL,,
594,518,10.3168/jds.2018-15391,Streptococcus thermophilus,9.66 g/L,g-aminobutyric acid,Special AA,L-glutamate,
595,519,10.1016/j.biortech.2018.09.035,NULL,NULL,NULL,NULL,,
597,521,10.1016/j.biortech.2018.09.017,NULL,NULL,NULL,NULL,,
602,526,10.1002/bit.26834,Escherichia coli,12.5 g L-1,l-tryptophan,Amino Acid,glycerol,
608,532,10.1021/acssynbio.8b00358,Escherichia coli,10 mg/L,pivalcohol,Alcohol,glucose,
610,534,10.1016/j.biortech.2018.08.112,Escherichia coli,201 mg/L,farnesyl acetate,Acid,glucose,
613,537,10.1016/j.fuel.2018.06.067,NULL,NULL,NULL,NULL,,
634,558,none,Aspergillus niger,130 gL(-1),citric acid,Acid,hydrol,
641,565,10.1016/j.mec.2018.e00073,Caldicellulosiruptor bescii,3.5?g/L,ethanol,Alcohol,cellulose,
50452,567,10.1186/s12934-018-1038-0,Escherichia coli,68 g/L,"2,3-butanediol",Alcohol,,
643,567,10.1186/s12934-018-1038-0,-,-,-,-,,
653,577,10.1186/s12918-018-0632-4,Escherichia coli,60 g/L,shikimic acid,Other,NULL,
654,578,10.1186/s12934-018-1022-8,Pseudomonas chlororaphis,6.79g/L,arbutin,Other,glucose and 4-hydroxybenzoic acid,
657,581,10.1039/c8gc02519c,Pseudomonas putida,50 g L-1,muconic acid,Acid,"hydroxycinnamic acids, p-coumaric acid, and ferulic acid",
663,587,10.1016/j.biortech.2018.07.082,E. coli,13.47 g/L,"1,3-propanediol",Alcohol,glycerol and glucose,
675,599,10.1007/s12649-017-0007-x,Saccharomyces cerevisiae,61.92 g/L,ethanol,Alcohol,lignocellulosic hydrolysate,
677,601,10.1016/j.biortech.2018.07.150,Saccharomyces cerevisiae,662 mg/L,isobutanol,Alcohol,glucose,
678,602,10.1016/j.biortech.2018.07.152,NULL,NULL,NULL,NULL,,
679,603,10.1016/j.biortech.2018.08.044,Saccharomyces cerevisiae,52.3 mg/L,b-carotene,Isoprenoid,NULL,
683,607,10.1007/s12010-018-2769-4,NULL,NULL,NULL,NULL,,
50453,615,10.1098/rsos.181236,NULL,NULL,NULL,NULL,,
691,615,10.1098/rsos.181236,-,-,-,-,,
702,626,10.1007/s00253-018-9305-x,Saccharomyces cerevisiae,300mg/L,butanol,Alcohol,NULL,
705,629,10.3389/fbioe.2018.00160,Saccharomyces cerevisiae,108.5 mg/L,casbene,Isoprenoid,glucose,
50454,631,10.4014/jmb.1807.07043,Escherichia coli,45.1 mg/l,3-O-arabinose 7-O-rhamnoside,Other,,
707,631,10.4014/jmb.1807.07043,-,-,-,-,,
709,633,10.3389/fmicb.2018.02589,Unspecified,25 g L-1,glutarate,Acid,glucose,
740,664,10.1073/pnas.1808567115,NULL,NULL,NULL,NULL,,
744,668,10.1007/s00253-018-9316-7,Bacillus subtilis,40.62g/L,uridine,Other,glycerol,
747,668,10.1007/s00253-018-9316-7,Bacillus subtilis,60.48g/L,acetoin,Other,glycerol,
750,671,10.1002/bit.26775,Actinosynnema pretiosum,757.7mg/L,ansamitocin P-3,Polyketide,NULL,
50455,676,10.1016/j.biortech.2018.02.058,NULL,NULL,NULL,NULL,ethanol,
755,676,10.1016/j.biortech.2018.02.058,-,-,-,-,,
760,681,10.1002/jsfa.9021,Escherichia coli,60.0 g L-1,d-mannose,Other,glucose,
761,682,10.1002/jsfa.9023,NULL,NULL,NULL,NULL,,
768,689,10.1021/acssynbio.8b00196,Bacillus subtilis,18.45 g/L,GlcNAc,Other,glucose,
785,706,10.1016/j.biortech.2018.06.001,Gluconobacter oxydans,45.8 g/L,3-hydroxypropionic acid,Acid,NULL,
789,710,10.1007/s00253-018-9244-6,NULL,NULL,NULL,NULL,,
792,713,10.1016/j.jtice.2018.06.001,NULL,NULL,NULL,NULL,,
796,717,10.3389/fmicb.2018.02333,Bacillus subtilis,38.0 g/L,2-deoxy-scyllo-inosose,Other,glycerol and glucose,
803,724,10.1016/j.jbiotec.2018.07.016,Corynebacterium glutamicum,19.0 g/L,4-hydroxybenzoate,Other,NULL,
806,727,10.1186/s12934-018-0995-7,Escherichia coli,165.31 mg/L,pinocembrin,Alkaloid,NULL,
807,728,10.1186/s13068-018-1246-1,NULL,,NULL,NULL,,
810,731,10.1016/j.bej.2018.05.005,NULL,NULL,NULL,NULL,,
811,732,10.1016/j.bej.2018.05.015,NULL,NULL,NULL,NULL,,
50456,735,10.1042/BCJ20180353,Saccharomyces cerevisiae,19.73 mg/l,cryptomeridiol,Alcohol,,
814,735,10.1042/BCJ20180353,-,-,-,-,,
818,739,10.1021/acs.jafc.8b02857,NULL,NULL,NULL,NULL,,
819,740,10.1038/s41467-018-05661-z,Clostridium acetobutylicum,550 g/L,butanol,Alcohol,glucose,
821,742,10.1186/s13068-018-1245-2,Clostridium thermocellum,25 g/L,ethanol,Alcohol,cellulose,
822,743,10.1016/j.cell.2018.07.013,Saccharomyces cerevisiae,33.4 g/L,fatty acid,Acid,NULL,
825,746,10.1038/s41598-018-31566-4,Phyllostachys nigra,360 mg/L,p-coumaroylagmatine,Other,NULL,
827,748,10.1007/s12257-018-0201-0,Candida glabrata,53.9 g/L,pyruvate,Acid,NULL,
837,758,10.3390/polym10090963,NULL,NULL,NULL,NULL,,
838,759,10.1007/s13213-018-1362-y,NULL,NULL,NULL,NULL,,
846,767,10.1021/acssynbio.8b00215,Escherichia coli,1.7 g/L,octanoic acid,Acid,NULL,
50457,772,10.1007/s13213-018-1364-9,NULL,NULL,NULL,NULL,,
851,772,10.1007/s13213-018-1364-9,-,-,-,-,,
853,774,10.1016/j.chemosphere.2018.04.179,NULL,NULL,NULL,NULL,,
50458,780,10.1111/lam.13014,NULL,NULL,NULL,NULL,hydrol,
859,780,10.1111/lam.13014,-,-,-,-,,
862,783,10.1016/j.ymben.2018.07.010,NULL,NULL,NULL,NULL,,
863,784,10.1016/j.ymben.2018.07.015,Synechocystis sp,905 mg/L,1-octanol,Alcohol,octanoic acid,
864,785,10.1016/j.ymben.2018.08.002,Escherichia coli,432.82 mg/L,astaxanthin,Isoprenoid,NULL,
868,789,10.1016/j.scitotenv.2018.04.222,NULL,NULL,NULL,NULL,,
870,791,10.1186/s12934-018-0984-x,Yarrowia lipolytica,380 mg/L,b-ionone,Isoprenoid,NULL,
871,792,10.1016/j.biortech.2018.04.119,Pseudomonas lipolytic,1102.6 mg/L,1-alkene,Other,lauric acid,
872,793,10.1021/acssynbio.8b00070,Streptomyces xiamenensis,94.30 mg/L,3-geranyl-4-hydroxybenzoic acid,Other,4-hydroxybenzoate,
50459,797,10.1128/AEM.01095-18,Saccharomyces cerevisiae,5.6 g/l,protocatechuate,Other,,
876,797,10.1128/AEM.01095-18,-,-,-,-,,
887,808,10.1186/s13568-018-0670-8,NULL,NULL,NULL,NULL,,
935,856,10.1007/s10499-018-0265-z,NULL,NULL,NULL,NULL,,
936,857,10.1002/bit.26720,Corynebacterium glutamicum,0.58 g/L,butyrate,Acid,NULL,
948,869,10.1016/j.biortech.2018.04.036,Paenibacillus polymyxa,25.88 g/L,"2,3-butanediol",Alcohol,NULL,
953,874,10.1186/s12934-018-0962-3,NULL,NULL,NULL,NULL,,
960,881,10.1186/s13068-018-1194-9,Saccharomyces cerevisiae,1.07 g/L,7-dehydrocholesterol,Other,NULL,
970,891,10.1038/s41598-018-28575-8,NULL,NULL,NULL,NULL,,
974,895,10.1186/s12934-018-0951-6,Saccharomyces cerevisiae,5 mg/L,kaempferol,Alkaloid,glucose,
1002,895,10.1186/s12934-018-0951-6,Saccharomyces cerevisiae,44 mg/L,dihydrokaempferol,Alkaloid,glucose,
50460,906,10.1016/j.ymben.2018.05.002,Saccharomyces cerevisiae,1.3 g/l,itaconic acid,Acid,,
985,906,10.1016/j.ymben.2018.05.002,-,-,-,-,,
1013,906,10.1016/j.ymben.2018.05.002,-,-,-,-,,
1030,923,10.1016/j.ymben.2018.04.013,Escherichia coil,2.4 g/L,"1,3-butanediol",Alcohol,glucose,
1031,924,10.1016/j.ymben.2018.06.007,Escherichia coll,5.1 g/L,5-hydroxytryptophan,Special AA,glycerol,
1036,929,10.1111/ijfs.13757,NULL,NULL,NULL,NULL,,
1038,931,10.1098/rsos.172318;172318,-,-,-,-,,
50461,931,10.1098/rsos.172318;172318,NULL,NULL,NULL,NULL,,
1040,933,10.1021/acssuschemeng.8b01611,NULL,NULL,NULL,NULL,,
1043,936,10.1007/s10295-018-2005-9,Escherichia coli,7.8 g/L,2-hydroxyisovaleric acid,Acid,glucose,
1066,959,10.1016/j.jbiotec.2018.04.004,NULL,NULL,NULL,NULL,,
1069,962,10.1186/s12934-018-0939-2,Corynebacterium glutamicum,2 g L-1,a-D-glucosylglycerol,Other,NULL,
1077,970,10.1371/journal.pone.0198976,NULL,NULL,NULL,NULL,,
1080,973,10.1007/s11274-018-2462-3,Escherichia coli,273 mg/L,1-deoxynojirymicin,Other,NULL,
1081,974,10.3390/su10061940,NULL,NULL,NULL,NULL,,
1089,982,10.1002/bit.26562,Corynebacterium glutamicum,2.9 mM,L-lysine,Amino Acid,NULL,
1090,983,10.1186/s13068-018-1149-1,NULL,NULL,NULL,NULL,,
1091,984,10.1039/c8en00325d,NULL,NULL,NULL,NULL,,
1107,1000,10.1016/j.anaerobe.2018.04.014,NULL,NULL,NULL,NULL,,
1112,1005,10.1016/j.pestbp.2018.03.015,NULL,NULL,NULL,NULL,,
1116,1009,10.1002/jctb.5540,Escherichia coli,35.3 mg/L,glutaconic acid,Acid,NULL,
1120,1013,10.1002/elsc.201700114,Yarrowia lipolytica,21.8 g/L,erythritol,Alcohol,NULL,
1139,1032,10.1016/j.ejbt.2018.03.001,Escherichia coli,52.67 mg/L,pinosylvin,Polyketide,glycerol and cinnamic acid,
1141,1034,10.1186/s12934-018-0925-8,NULL,NULL,NULL,NULL,,
1144,1037,10.1186/s12896-018-0438-x,NULL,NULL,NULL,NULL,,
1151,1044,10.1007/s11274-018-2450-7,Bacillus licheniformis,48.5 g/L,"2,3-butanediol",Alcohol,lignocellulosic hydrolysate,
1157,1050,10.1002/bit.26539,Starmerella bombicola,20 g/L,sBola sophoroside,Other,NULL,
1160,1053,10.1016/j.jbiosc.2017.12.007,Enterobacter aerogenes,9.1 g L-1,succinate,Acid,glucose,
1164,1057,10.1016/j.ymben.2018.02.005,Saccharomyces cerevisae,76 mg L-1,limoene,Isoprenoid,NULL,
1166,1059,10.1016/j.ymben.2018.04.010,Methylomicrobium alcaliphilum,86.2 mg/L,"2,3-butanediol",Alcohol,methane,
1180,1073,10.1117/1.JBO.23.5.055006,NULL,NULL,NULL,NULL,,
1185,1078,10.1002/bit.26558,Escherichia coli,5.4 g/L,methyl ketone,Other,NULL,
1187,1080,10.1002/bit.26551,Bacillus subtilis,4.5g/L,hyaluronic acid,Acid,NULL,
1188,1081,10.1002/bit.26540,Unspecified,2.1 g/L,decanoic acid,Acid,glycerol,
1189,1082,10.1016/j.ymben.2018.03.012,NULL,NULL,NULL,NULL,,
1194,1087,10.1016/j.ymben.2018.03.003,Pseudomonas putida,64.2 g/L,muconic acid,Acid,catechol,
1195,1088,10.1016/j.ymben.2018.04.020,Escherichia coll,1.42 g/L,glucaric acid,Acid,sucrose,
1205,1098,10.1073/pnas.1721469115,Saccharomyces cerevisiae,2.2 mg/L,noscapine,Alkaloid,NULL,
1207,1100,10.1186/s12934-018-0910-2,Corynebacterium glutamicum,6.75 g/L,"1,2-propanediol",Alcohol,NULL,
1210,1103,10.3389/fmicb.2018.00672,NULL,NULL,NULL,NULL,,
1212,1105,10.1186/s12934-018-0907-x,Saccharomyces cerevisiae,6.3 g L-1,2-phenylethanol,Other,NULL,
1217,1110,10.1016/j.jhazmat.2017.12.056,NULL,NULL,NULL,NULL,,
1218,1111,10.1186/s12934-018-0903-1,Klebsiella pneumoniae,36.7 g/L,3-hydroxypropionic acid,Acid,NULL,
1223,1116,10.3390/genes9040219,Corynebacterium glutamicum,60 mg L-1,patchoulol,Isoprenoid,NULL,
1231,1124,10.1007/s00253-018-8810-2,Rhodosporidium toruloides,39.5 g/L,lipid,Other,lignocellulosic hydrolysate,
1232,1125,10.1016/j.biortech.2018.01.078,NULL,NULL,NULL,NULL,,
1239,1132,10.1007/s13197-018-3074-5,NULL,NULL,NULL,NULL,,
50462,1163,10.1038/nature26141,Saccharomyces cerevisiae,8.49g l(-1),isobutanol,Alcohol,glucose,
50463,1163,10.1038/nature26141,Saccharomyces cerevisiae,2.38g l(-1),2-methyl-1-butanol,Alcohol,glucose,
1270,1163,10.1038/nature26141,-,-,-,-,,
1286,1179,10.1016/j.bej.2017.12.007,-,-,-,-,,
50464,1179,10.1016/j.bej.2017.12.007,NULL,NULL,NULL,NULL,,
1303,1196,10.1002/bit.26508,Escherichia coli,3.57 g/L,itaconic acid,Acid,acetate,
1305,1198,10.1002/btpr.2596,NULL,NULL,NULL,NULL,,
1323,1216,10.1002/bit.26505,Escherichia coli,5.55g/L,trehalose,Other,xylose,
50465,1220,10.1126/sciadv.1701475,Thermoanaerobacterium thermosaccharolyticum,7.33 g/l,butanol,Alcohol,,
1327,1220,10.1126/sciadv.1701475,-,-,-,-,,
1332,1225,10.1016/j.ymben.2018.02.004,Synechococcus elongatus,1.2 g/L,3-hydroxybutyrate,Acid,carbon dioxide,
50466,1231,10.1128/AEM.02587-17,Corynebacterium glutamicum,36.6 g/l,hydroxybenzoic acid,Acid,glucose,
1338,1231,10.1128/AEM.02587-17,-,-,-,-,,
1354,1247,10.1016/j.jhazmat.2017.09.033,NULL,NULL,NULL,NULL,,
50467,1252,10.1186/s12934-018-0869-z,Acinetobacter baylyi,0.45 g/l,wax ester,Other,,
1359,1252,10.1186/s12934-018-0869-z,-,-,-,-,,
1361,1254,10.3389/fmicb.2018.00139,Escherichia coli,144 mg/L,medium chain hydroxy fatty acid,Acid,glycerol and glucose,
1365,1258,10.1016/j.ibiod.2017.11.004,Clostridium beijerinckii,13.8 g/L,butanol,Alcohol,lignocellulose,
1370,1263,10.1021/acssynbio.7b00338,Saccharomyces cerevisiae,35.3 mg/L,1-alkenes,Other,NULL,
1376,1269,10.1016/j.biortech.2017.11.059,Clostridium tyrobutyricum,30.1 g/L,butyric acid,Acid,lignocellulosic hydrolysate,
1383,1276,10.1002/bit.26473,Yarrowia lipolytica,6.5g/L,b-carotene,Isoprenoid,glucose,
1385,1276,10.1002/bit.26473,Yarrowia lipolytica,42.6g/L,lipids,Other,glucose,
1387,1278,10.1016/j.indcrop.2017.12.064,Flarnmulina velutipes,3.4 mu g/L,resveratrol,Polyketide,coumaric acid,
1396,1287,10.1016/j.apenergy.2017.11.090,NULL,NULL,NULL,NULL,,
1397,1288,10.1002/bit.26402,Yarrowia lipolytica,2033.8 mg/L,free fatty acid,Acid,glucose and dodecane,
1408,1299,10.1016/j.biortech.2017.11.017,Corynebacterium glutamicum,25 g/L,L-ornithine,Special AA,NULL,
50468,1301,10.1007/s10529-017-2481-4,Bacillus subtilis,3.71 g/l,acetoin,Other,xylose,
1410,1301,10.1007/s10529-017-2481-4,-,-,-,-,,
1418,1309,10.1002/bit.26469,NULL,NULL,NULL,NULL,,
